"","countyfp","name","wam_age","wam_income","ttl_value","ttl_population","ttl_white","ttl_black","ttl_asian","ttl_hispanic","ttl_other"
"1","001","Appling",39.0953646898432,46780.6571361133,2934,683808,459024,130503,10643,69544,14094
"2","003","Atkinson",38.2453703703704,44838.2994445035,648,191983,131307,34706,2459,21422,2089
"3","005","Bacon",38.5839068290101,46032.7534785364,1889,450264,324406,71940,4825,39541,9552
"4","007","Baker",40.9060035842294,51318.8395967003,1116,447622,288799,115798,9153,25111,8761
"5","009","Baldwin",40.4164296617659,55824.651667351,12447,3645295,2233599,1070986,86159,178721,75830
"6","011","Banks",40.5343170790306,58615.2862249632,13635,5449397,3774439,772045,192663,569907,140343
"7","013","Barrow",37.8500293455933,69067.5511146821,20446,9442888,6353686,1495058,368959,990600,234585
"8","015","Bartow",39.7606112896075,64217.8419309274,52513,23357359,17012487,2845852,632906,2229446,636668
"9","017","Ben Hill",39.9907628294036,42532.793554695,3605,749473,485101,186597,12280,54651,10844
"10","019","Berrien",40.7325932543622,41680.2810308359,1314,233304,169714,40383,2720,16512,3975
"11","021","Bibb",39.9885095847815,57981.7993209641,51157,21911163,12988219,5992375,656450,1759939,514180
"12","023","Bleckley",40.5146955208858,51862.4209505195,1987,669646,425562,171641,15820,41848,14775
"13","025","Brantley",40.1854166666667,43920.1831757973,576,143407,108568,18813,1949,11554,2523
"14","027","Brooks",40.9400581959263,44821.0291269364,1031,286414,170026,89297,3682,17925,5484
"15","029","Bryan",38.670142701154,68768.4297041332,23092,10535104,6733836,1968970,306759,1166656,358883
"16","031","Bulloch",37.2950517767269,52051.571444143,23548,8134854,5244071,1927985,168191,544417,250190
"17","033","Burke",38.7685222486724,50525.9575357944,5461,1829569,1046319,576815,31448,120335,54652
"18","035","Butts",40.1262227208304,61200.923021702,25295,13540755,8552813,2809836,388888,1422828,366390
"19","037","Calhoun",43.0353225806452,37670.7799777531,620,120181,57477,55890,695,4231,1888
"20","039","Camden",39.3278255350696,64946.761356693,17486,9297084,6031958,1481272,320641,1180135,283078
"21","043","Candler",39.7171572234486,58029.2857090502,8154,3650576,2431052,730584,111659,284281,93000
"22","045","Carroll",38.303038458538,59691.5427339531,34518,12858836,8782502,2499332,230837,985163,361002
"23","047","Catoosa",41.0546605215355,60436.599849212,18092,7120003,5609885,606859,165384,564085,173790
"24","049","Charlton",40.4359624413146,52008.1294141019,2130,753930,534941,126564,14192,59743,18490
"25","051","Chatham",38.733899272438,66539.4971205317,76294,40292327,24992278,8982359,1215791,3756856,1345043
"26","053","Chattahoochee",36.8083188477775,62852.2044398901,4027,1741939,1068803,399792,49022,168760,55562
"27","055","Chattooga",41.7221285563751,43295.4613811483,4745,1114074,906262,99278,14305,68622,25607
"28","057","Cherokee",39.6118255146909,83112.5727720803,68682,26586375,19500081,2915848,750544,2676351,743551
"29","059","Clarke",38.0649680511182,57682.5979378986,18780,7800957,5171172,1482092,246885,718654,182154
"30","061","Clay",43.888090349076,42645.7266356303,487,148570,95755,39294,2239,8529,2753
"31","063","Clayton",36.0002160372986,58204.1695428771,45295,26160597,8779480,12899067,1007114,2704819,770117
"32","065","Clinch",38.9704198473282,40324.8321387116,1048,293828,207788,52795,3903,23386,5956
"33","067","Cobb",38.3778450052304,79706.595315524,127414,67882189,39643555,16300709,2659981,7370146,1907798
"34","069","Coffee",38.1869114959534,44557.7735506153,11491,2493704,1588951,526238,31766,310813,35936
"35","071","Colquitt",38.4818517196239,45838.0275913551,8403,2061556,1273368,461873,29037,261846,35432
"36","073","Columbia",38.5794020470673,72928.2240059676,28830,10710436,6568499,2662325,295678,779029,404905
"37","075","Cook",39.6889310238803,57532.5682749613,9757,4225664,2737256,698672,136104,550612,103020
"38","077","Coweta",39.6420033241264,71745.7670555229,46838,19650313,12359310,4528190,614296,1633726,514791
"39","079","Crawford",43.7558504221954,50140.5888084367,829,229984,147691,62447,3751,11735,4360
"40","081","Crisp",41.3123666142774,59083.9104493862,12089,5770894,3698252,1177973,167906,595019,131744
"41","083","Dade",41.8420558921243,57625.3091691738,10234,4347326,3329152,443621,101195,358471,114887
"42","085","Dawson",40.3575166297118,72279.0604065732,11275,3963529,2979119,361545,141518,382943,98404
"43","087","Decatur",40.9286983459603,48593.8852354062,9617,2552197,1581124,692962,49680,170380,58051
"44","089","DeKalb",37.1844609317571,67884.9313377627,85225,49224454,17810009,22267964,2620235,5177169,1349077
"45","091","Dodge",42.6839407288747,44423.689016034,2497,495219,327932,123488,7007,26456,10336
"46","093","Dooly",40.2857223876365,63259.9034255102,7053,4457473,2812325,786715,166439,574600,117394
"47","095","Dougherty",39.0392810231593,54174.7322763542,14465,3982543,2018827,1594760,72545,215759,80652
"48","097","Douglas",37.9909454506572,67209.3023101151,39909,18953840,9808808,6598802,423893,1629151,493186
"49","099","Early",41.4529810298103,44481.5298102981,1476,396581,255136,109187,6132,17863,8263
"50","101","Echols",42.3041214750542,45908.4674442587,461,117868,82462,18108,1504,13120,2674
"51","103","Effingham",36.4708943161828,64538.5940123597,15070,4152849,2823294,846357,74103,268606,140489
"52","105","Elbert",41.7946894950667,47222.1588305698,3446,982808,661975,215857,17131,69711,18134
"53","107","Emanuel",38.9526058993125,48646.2167766657,4509,1325259,865069,289378,26733,106279,37800
"54","109","Evans",39.0570385818561,45671.7498555694,2877,834300,519195,200562,11275,83020,20248
"55","111","Fannin",46.8494472361809,59930.4109949567,10945,4338164,3321123,383434,112694,413250,107663
"56","113","Fayette",40.3536009073152,81556.7799955434,15871,7195097,3607444,2621717,226271,541771,197894
"57","115","Floyd",40.4845126976859,54553.4540999695,28391,8772232,6591521,1023631,133719,785009,238352
"58","117","Forsyth",39.5492703433461,99296.571889016,53998,20370415,14244391,1982489,1533175,2091257,519103
"59","119","Franklin",41.0491386382281,55592.0445248678,13409,5222243,3643117,783350,162232,511046,122498
"60","121","Fulton",38.0793403466782,79299.7675866981,119688,70204860,32339656,25076709,3998561,6902837,1887097
"61","123","Gilmer",44.4781921843449,60707.5577019293,8419,3396856,2564553,310056,77438,359511,85298
"62","125","Glascock",42.069801084991,50889.3979182084,553,79685,45045,24553,812,6995,2280
"63","127","Glynn",41.154227018539,64001.9826337961,31958,16474173,10920237,2722737,510372,1849808,471019
"64","129","Gordon",40.0179867149729,57546.5625145797,29525,11955725,8674107,1323596,309392,1340338,308292
"65","131","Grady",40.390395480226,49160.5912498237,4071,890761,518685,256429,11278,86428,17941
"66","133","Greene",41.6067981871501,65161.0351857924,7502,3841945,2437871,848059,126568,326956,102491
"67","135","Gwinnett",37.2589131108423,78242.9458642073,159480,87023648,42071369,22402547,7292473,12836671,2420588
"68","137","Habersham",41.7120901074676,57785.0115806739,14516,5655666,4235286,493945,150383,633174,142878
"69","139","Hall",39.6964215969912,67577.071280795,55304,23179084,15354497,2714117,881040,3702479,526951
"70","141","Hancock",44.9951149425287,45073.8241831756,696,251940,126887,102619,4520,13031,4883
"71","143","Haralson",39.8504399188235,57605.2480931064,19025,7866847,5345588,1412209,179878,716192,212980
"72","145","Harris",41.4344257226774,71090.9162921256,6469,2324943,1552306,498267,68505,139533,66332
"73","147","Hart",42.8051428571429,49054.4287269281,5425,1416470,1025113,235780,31812,98009,25756
"74","149","Heard",41.9984375,53702.3982556497,960,295932,213831,50628,2620,20360,8493
"75","151","Henry",38.428158909046,69534.8064982115,74740,36736142,19127855,12196871,1176768,3171496,1063152
"76","153","Houston",38.5494614312589,65389.1082004001,36511,14224156,8829259,3494227,474416,1054427,371827
"77","155","Irwin",41.1320486815416,47402.9659324619,493,134059,92072,28335,1151,11004,1497
"78","157","Jackson",39.2942931209377,65829.7856002355,26617,11238510,7528553,1687907,446596,1292586,282868
"79","159","Jasper",40.7304701102728,60821.7796743434,1723,572931,382562,132060,8816,35445,14048
"80","161","Jeff Davis",38.5693279434058,42767.2127842114,1979,455546,301975,91680,4192,50691,7008
"81","163","Jefferson",41.1381488325214,49602.9819006712,5953,2179890,1389969,535095,39732,158281,56813
"82","165","Jenkins",41.0346291560102,39986.7189647414,1955,519945,323902,141986,7050,34609,12398
"83","167","Johnson",41.0049973418394,45151.0237486436,1881,475616,300595,129690,6855,27331,11145
"84","169","Jones",40.5501984126984,56255.5655779058,3528,928349,597320,256825,20755,36950,16499
"85","171","Lamar",40.0331452404318,52107.8025099521,4076,998714,639473,276074,14419,46041,22707
"86","173","Lanier",38.848197242842,44947.5637865949,1886,459657,313129,92475,6400,39503,8150
"87","175","Laurens",40.3871119689647,50517.5281334308,19706,6543758,4132456,1656727,159212,442834,152529
"88","177","Lee",39.3557418884433,62703.0234753971,5486,1342435,811939,402277,26875,69911,31433
