year,month,day,region,iso_country_code,total_visits,total_devices_seen,total_home_visits,total_home_visitors
2019,7,1,ALL,"",59276833,18257791,22907283,14014360
2019,7,1,ALL_CA,CA,311046,245678,311046,245678
2019,7,1,ALL_US,US,58965787,18012839,22596237,13768691
2019,7,1,ab,CA,38059,30815,38059,30815
2019,7,1,ak,US,86907,30241,30503,20623
2019,7,1,al,US,1229074,361121,480417,282769
2019,7,1,ar,US,652294,200348,268252,157917
2019,7,1,as,US,50,43,41,37
2019,7,1,az,US,1040515,333891,396778,256227
2019,7,1,bc,CA,44608,35977,44608,35977
2019,7,1,ca,US,6148847,1820263,2175582,1382042
2019,7,1,co,US,996776,323277,345028,219460
2019,7,1,ct,US,515494,174950,209947,125326
2019,7,1,dc,US,138539,62101,0,0
2019,7,1,de,US,162808,56474,59870,36892
2019,7,1,fl,US,4532649,1310767,1582133,949418
2019,7,1,ga,US,2331989,692377,870320,517720
2019,7,1,gu,US,1115,605,536,416
2019,7,1,hi,US,287683,77114,76238,51148
2019,7,1,ia,US,618023,200831,267468,156933
2019,7,1,id,US,253182,84406,103566,63203
2019,7,1,il,US,2401875,785664,941043,571280
2019,7,1,in,US,1164387,384174,484643,290656
2019,7,1,ks,US,594110,193050,254916,150040
2019,7,1,ky,US,783422,264653,324042,195976
2019,7,1,la,US,981121,298188,388973,230440
2019,7,1,ma,US,941549,324584,353178,216562
2019,7,1,mb,CA,9321,7412,9321,7412
2019,7,1,md,US,968846,322823,374558,230662
2019,7,1,me,US,166088,59413,67014,41714
2019,7,1,mi,US,1665270,566861,711705,432367
2019,7,1,mn,US,884814,327266,364976,233574
2019,7,1,mo,US,1288397,408156,508674,304019
2019,7,1,mp,US,442,305,441,305
2019,7,1,ms,US,651794,197627,266497,156819
2019,7,1,mt,US,138881,47967,52064,32802
2019,7,1,nb,CA,5109,4060,5109,4060
2019,7,1,nc,US,2020917,639453,803200,481771
2019,7,1,nd,US,136658,46789,57531,35062
2019,7,1,ne,US,411773,133877,175912,103919
2019,7,1,nh,US,196480,70237,79291,47714
2019,7,1,nj,US,1683239,529312,662593,389109
2019,7,1,nl,CA,2994,2377,2994,2377
2019,7,1,nm,US,256359,91978,100747,64556
2019,7,1,ns,CA,6846,5437,6846,5437
2019,7,1,nt,CA,237,198,237,198
2019,7,1,nu,CA,96,79,96,79
2019,7,1,nv,US,672894,182277,189624,122545
2019,7,1,ny,US,3242010,1050806,1175918,723979
2019,7,1,oh,US,2070230,679423,867024,517788
2019,7,1,ok,US,880355,260147,353385,204910
2019,7,1,on,CA,135980,105555,135980,105555
2019,7,1,or,US,613331,211455,226453,148116
2019,7,1,pa,US,1905871,648939,779695,476806
2019,7,1,pe,CA,1054,839,1054,839
2019,7,1,pr,US,93397,50158,57648,41179
2019,7,1,qc,CA,58308,46011,58308,46011
2019,7,1,ri,US,155999,54291,58646,35464
2019,7,1,sc,US,1066328,328454,398849,236071
2019,7,1,sd,US,145870,50271,58599,35737
2019,7,1,sk,CA,8197,6722,8197,6722
2019,7,1,tn,US,1398220,434197,535248,321629
2019,7,1,tx,US,6073604,1814946,2322832,1398464
2019,7,1,ut,US,505348,158983,195906,117507
2019,7,1,va,US,1364350,432832,536318,322877
2019,7,1,vi,US,196,130,0,0
2019,7,1,vt,US,66718,26157,28870,18521
2019,7,1,wa,US,1061344,359239,408496,266905
2019,7,1,wi,US,965980,346621,417600,260582
2019,7,1,wv,US,263286,96194,113782,71068
2019,7,1,wy,US,88089,31775,32667,20378
2019,7,1,yt,CA,237,198,237,198
2019,7,2,ALL,"",61711347,18731651,24881291,14548330
2019,7,2,ALL_CA,CA,364227,267193,364227,267193
2019,7,2,ALL_US,US,61347120,18465004,24517064,14281137
2019,7,2,ab,CA,42106,32496,42106,32496
2019,7,2,ak,US,90047,31405,32880,21327
2019,7,2,al,US,1280305,363593,514547,286524
2019,7,2,ar,US,680496,205712,288145,161662
2019,7,2,as,US,43,36,36,31
2019,7,2,az,US,1072718,334586,416999,255997
2019,7,2,bc,CA,50329,38822,50329,38822
2019,7,2,ca,US,6318874,1824309,2278130,1386056
2019,7,2,co,US,1030808,316699,362482,217447
2019,7,2,ct,US,536230,175684,228153,129600
2019,7,2,dc,US,139016,64077,0,0
2019,7,2,de,US,171534,58913,66463,39110
2019,7,2,fl,US,4734659,1346482,1733328,989014
2019,7,2,ga,US,2445686,698664,947341,532802
2019,7,2,gu,US,1342,745,746,593
2019,7,2,hi,US,291399,76280,78235,50757
2019,7,2,ia,US,646056,205737,291516,163991
